Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000046319	2	0	0	0	0	0
ENSRNOG00000047964	0	0	0	0	0	0
ENSRNOG00000050370	3	0	2	1	0	0
ENSRNOG00000032365	0	0	0	0	0	0
ENSRNOG00000040300	7	5	8	12	15	13
ENSRNOG00000058808	0	0	2	0	0	0
ENSRNOG00000061316	190	196	94	232	380	391
ENSRNOG00000050129	2	2	1	0	0	0
ENSRNOG00000040316	0	0	1	0	0	2
ENSRNOG00000023659	11	7	7	6	4	12
ENSRNOG00000029897	9	11	9	20	28	25
ENSRNOG00000042852	8	0	2	0	0	0
ENSRNOG00000061806	0	0	0	0	0	0
ENSRNOG00000055877	0	0	1	0	0	0
ENSRNOG00000014303	56	71	76	54	93	82
ENSRNOG00000051899	2	1	2	0	0	0
ENSRNOG00000014330	164	312	317	636	784	730
ENSRNOG00000049505	92	151	92	328	453	416
ENSRNOG00000014916	435	579	559	898	858	1267
ENSRNOG00000014996	146	182	253	367	413	475
ENSRNOG00000015239	398	659	477	1166	1331	1304
ENSRNOG00000055508	3	1	0	1	0	0
ENSRNOG00000053710	1	0	2	1	1	0
ENSRNOG00000015552	288	475	324	876	1031	1408
ENSRNOG00000016041	52	90	188	216	98	171
ENSRNOG00000016054	526	794	767	1925	1167	2055
ENSRNOG00000016381	32	42	133	108	60	108
ENSRNOG00000054005	0	0	0	0	0	0
ENSRNOG00000059137	4	1	4	1	0	0
ENSRNOG00000013160	561	486	704	938	774	974
ENSRNOG00000052788	2	1	1	2	1	3
ENSRNOG00000023549	7	4	6	3	4	9
ENSRNOG00000031859	1	0	2	1	0	0
ENSRNOG00000013351	611	1024	1098	1920	1654	2313
ENSRNOG00000061755	16	23	18	20	26	36
ENSRNOG00000053182	0	0	0	0	0	0
ENSRNOG00000042741	101	117	64	170	161	136
ENSRNOG00000014258	555	797	467	1377	1548	1365
ENSRNOG00000057302	0	0	0	0	0	0
ENSRNOG00000014290	20	4	14	5	0	0
ENSRNOG00000041566	0	0	0	0	0	0
ENSRNOG00000014431	1	1	1	0	0	0
ENSRNOG00000014450	264	440	584	497	610	1100
ENSRNOG00000014852	247	415	299	828	1477	1547
ENSRNOG00000052274	0	0	1	0	0	0
ENSRNOG00000040242	9	13	12	11	8	25
ENSRNOG00000054906	1	0	0	0	0	0
ENSRNOG00000058048	0	0	0	0	0	0
ENSRNOG00000051844	9	1	2	0	0	0
ENSRNOG00000053880	1	0	0	0	0	0
ENSRNOG00000011058	1405	2268	3443	3027	3199	5254
ENSRNOG00000014902	167	310	283	508	520	447
ENSRNOG00000014908	125	217	523	286	186	376
ENSRNOG00000036310	0	0	0	0	0	0
ENSRNOG00000025587	70	79	111	109	64	139
ENSRNOG00000042705	3	1	5	1	2	1
ENSRNOG00000043188	8	2	7	4	0	1
ENSRNOG00000015217	128	176	258	308	305	439
ENSRNOG00000015473	232	347	391	699	447	776
ENSRNOG00000015551	75	122	150	141	124	258
ENSRNOG00000015660	141	217	133	337	339	468
ENSRNOG00000046983	10	13	19	52	24	41
ENSRNOG00000016624	0	0	0	2	0	0
ENSRNOG00000010753	52	95	82	165	137	169
ENSRNOG00000011015	230	278	311	459	481	578
ENSRNOG00000011399	0	0	0	0	0	2
ENSRNOG00000011411	160	220	332	850	606	1089
ENSRNOG00000011540	199	357	512	814	615	976
ENSRNOG00000012092	8	0	1	0	0	0
ENSRNOG00000012103	2	1	0	1	0	0
ENSRNOG00000059930	3	1	2	0	0	0
ENSRNOG00000059032	1	0	0	0	0	0
ENSRNOG00000056005	0	0	0	0	0	0
ENSRNOG00000055342	0	0	0	0	0	0
ENSRNOG00000047798	0	0	0	0	0	0
ENSRNOG00000059769	0	0	0	0	0	0
ENSRNOG00000047193	0	0	0	0	0	0
ENSRNOG00000060990	0	0	0	0	1	0
ENSRNOG00000058425	14	16	14	20	5	20
ENSRNOG00000055421	0	0	0	0	0	0
ENSRNOG00000051831	26	57	5	4	90	2
ENSRNOG00000052007	0	0	0	0	0	0
ENSRNOG00000061685	0	0	0	0	0	0
ENSRNOG00000047746	0	7	3	1	12	0
ENSRNOG00000053888	3	5	1	0	8	0
ENSRNOG00000055836	0	0	0	0	0	0
ENSRNOG00000060657	0	0	0	0	0	0
ENSRNOG00000059898	0	0	0	1	2	8
ENSRNOG00000055789	9	9	9	8	10	13
ENSRNOG00000062232	0	0	0	0	0	0
ENSRNOG00000055660	12	23	10	26	48	47
ENSRNOG00000060284	8	2	3	4	7	7
ENSRNOG00000056019	2	0	0	0	2	0
ENSRNOG00000059861	2	0	0	1	0	3
ENSRNOG00000056940	233	440	595	667	411	549
ENSRNOG00000055972	0	0	0	0	0	0
ENSRNOG00000060021	45	35	38	17	41	31
ENSRNOG00000060610	0	0	0	0	0	0
ENSRNOG00000060972	362	482	450	691	834	813
ENSRNOG00000051450	794	1122	494	1526	1814	1563
ENSRNOG00000059224	49	87	151	173	108	212
ENSRNOG00000055142	3	1	1	3	2	6
ENSRNOG00000052189	15	6	7	9	2	4
ENSRNOG00000053331	1	0	2	0	0	0
ENSRNOG00000053347	57	74	80	121	161	144
ENSRNOG00000059393	0	0	0	2	0	0
ENSRNOG00000060603	51	76	105	150	60	88
ENSRNOG00000053735	54	98	64	193	137	194
ENSRNOG00000053184	0	0	0	1	0	0
ENSRNOG00000011460	25	6	17	15	6	8
ENSRNOG00000025799	5	1	1	2	0	0
ENSRNOG00000011994	5	2	7	10	1	3
ENSRNOG00000049517	284	169	143	218	167	180
ENSRNOG00000058088	5	1	2	1	2	0
ENSRNOG00000054373	4	1	1	1	2	0
ENSRNOG00000012057	14	3	2	3	0	0
ENSRNOG00000053291	9	4	3	6	2	5
ENSRNOG00000012074	607	819	887	1093	1059	1014
ENSRNOG00000012259	27	16	4	19	16	4
ENSRNOG00000012286	4	2	3	2	1	0
ENSRNOG00000057719	1	1	4	1	0	0
ENSRNOG00000012311	6	22	36	40	20	37
ENSRNOG00000012322	16	32	33	47	41	60
ENSRNOG00000031700	185	323	513	514	364	580
ENSRNOG00000054452	0	0	0	0	0	0
ENSRNOG00000012701	25	26	52	56	18	47
ENSRNOG00000053505	1	0	0	0	0	0
ENSRNOG00000058050	1788	2726	1951	3487	7210	8068
ENSRNOG00000013436	91	78	97	212	125	246
ENSRNOG00000058518	0	0	0	0	0	0
ENSRNOG00000053617	2	1	0	0	0	0
ENSRNOG00000013969	136	224	245	256	392	643
ENSRNOG00000055858	280	830	1542	1540	1113	2800
ENSRNOG00000014531	355	617	1015	1050	796	1472
ENSRNOG00000014907	23	13	22	17	14	21
ENSRNOG00000052464	0	0	1	0	0	0
ENSRNOG00000058612	1	0	0	1	0	0
ENSRNOG00000048762	9	4	3	1	0	0
ENSRNOG00000058363	1	1	0	0	0	0
ENSRNOG00000014979	7	7	10	17	11	11
ENSRNOG00000055971	0	0	1	1	0	0
ENSRNOG00000047605	178	175	251	320	274	472
ENSRNOG00000046617	3	4	7	3	1	9
ENSRNOG00000047754	2	0	1	0	0	0
ENSRNOG00000028519	4	0	1	0	0	0
ENSRNOG00000011134	282	386	331	243	462	592
ENSRNOG00000046438	0	0	0	0	0	0
ENSRNOG00000057281	5	2	2	0	1	3
ENSRNOG00000058772	1	0	0	0	0	0
ENSRNOG00000011245	756	1002	515	1408	2585	2010
ENSRNOG00000030796	0	0	0	0	0	0
ENSRNOG00000051380	0	2	0	5	4	5
ENSRNOG00000011720	109	224	259	367	264	492
ENSRNOG00000033517	36	34	19	290	214	204
ENSRNOG00000039955	4	4	5	7	4	3
ENSRNOG00000050801	3	1	1	0	1	0
ENSRNOG00000049569	1	0	0	1	0	0
ENSRNOG00000047783	22	14	16	47	28	46
ENSRNOG00000011855	0	0	0	0	0	0
ENSRNOG00000053931	0	0	0	3	0	0
ENSRNOG00000026462	1	2	1	5	0	3
ENSRNOG00000056218	3	0	0	1	0	0
ENSRNOG00000047821	1	2	1	0	0	0
ENSRNOG00000012346	753	1014	1089	1060	1021	1873
ENSRNOG00000013202	74	86	79	121	166	162
ENSRNOG00000055111	212	449	678	1260	974	1276
ENSRNOG00000054921	2	0	0	0	0	1
ENSRNOG00000053999	1	0	1	0	0	0
ENSRNOG00000052696	0	0	0	0	0	0
ENSRNOG00000013304	1677	1232	24	286	816	114
ENSRNOG00000013422	233	416	676	656	549	1024
ENSRNOG00000013791	331	624	157	373	480	397
ENSRNOG00000053913	2	4	2	1	0	3
ENSRNOG00000013994	418	459	623	618	1167	1894
ENSRNOG00000015036	610	807	586	593	1583	1647
ENSRNOG00000015321	16	11	22	10	7	32
ENSRNOG00000015670	59	91	108	156	197	224
ENSRNOG00000026096	1	0	0	0	0	1
ENSRNOG00000056705	1	0	0	0	0	0
ENSRNOG00000048934	0	0	0	0	0	0
ENSRNOG00000030414	0	0	0	0	0	0
ENSRNOG00000039872	4	0	0	2	3	0
ENSRNOG00000048072	0	0	2	1	0	0
ENSRNOG00000052726	9	1	9	2	0	0
ENSRNOG00000048265	2	0	0	0	0	0
ENSRNOG00000046903	2	1	0	0	0	0
ENSRNOG00000045914	1	0	3	0	0	0
ENSRNOG00000047825	4	0	1	1	0	0
ENSRNOG00000046302	2	1	2	0	0	0
ENSRNOG00000016095	2	0	1	0	0	0
ENSRNOG00000016089	2	0	1	0	0	0
ENSRNOG00000039869	3	1	0	0	0	0
ENSRNOG00000029877	3	1	4	0	1	0
ENSRNOG00000025982	2	0	0	1	1	0
ENSRNOG00000025951	3	1	0	0	0	0
ENSRNOG00000016073	1	0	1	0	0	1
ENSRNOG00000016219	23	28	18	40	30	39
ENSRNOG00000039865	11	26	23	26	34	31
ENSRNOG00000016371	52	60	107	105	91	115
ENSRNOG00000060376	9	19	12	27	47	47
ENSRNOG00000016411	7458	11888	14661	35430	20951	19910
ENSRNOG00000057952	11	17	3	28	24	54
ENSRNOG00000061678	7	8	5	8	9	12
ENSRNOG00000054517	318	431	199	177	610	226
ENSRNOG00000016627	79	42	120	108	114	254
ENSRNOG00000048248	0	0	0	0	0	0
ENSRNOG00000016700	5	0	0	0	0	0
ENSRNOG00000011114	169	265	186	457	618	581
ENSRNOG00000011161	45	45	45	49	77	106
ENSRNOG00000051597	0	1	2	0	0	0
ENSRNOG00000057722	2	1	2	0	0	0
ENSRNOG00000011815	628	768	709	972	847	1055
ENSRNOG00000059690	0	0	0	0	0	0
ENSRNOG00000051379	2	1	0	0	1	0
ENSRNOG00000059251	2	0	0	0	0	0
ENSRNOG00000061761	2	0	1	0	0	0
ENSRNOG00000056881	0	0	0	0	0	0
ENSRNOG00000055637	0	0	0	0	0	0
ENSRNOG00000058047	8	1	3	3	0	0
ENSRNOG00000052999	16	5	13	6	0	0
ENSRNOG00000048976	16	0	5	5	0	0
ENSRNOG00000048796	1	0	0	0	0	0
ENSRNOG00000054246	4	4	5	1	0	0
ENSRNOG00000012122	15	3	2	4	3	3
ENSRNOG00000062105	0	0	0	0	0	0
ENSRNOG00000062163	0	0	1	1	0	0
ENSRNOG00000062138	2	1	3	0	0	0
ENSRNOG00000012609	456	321	108	25	709	281
ENSRNOG00000058582	1	0	1	0	0	0
ENSRNOG00000029608	4	0	0	0	1	0
ENSRNOG00000052712	0	0	0	0	0	0
ENSRNOG00000057890	7	2	0	0	6	1
ENSRNOG00000056670	5	2	6	2	0	0
ENSRNOG00000013323	31	47	41	70	56	47
ENSRNOG00000021478	14	50	42	89	100	90
ENSRNOG00000021442	149	164	195	357	436	420
ENSRNOG00000041720	1	0	0	0	0	0
ENSRNOG00000013364	24	22	16	28	43	53
ENSRNOG00000014004	199	292	240	458	487	660
ENSRNOG00000045369	1	1	0	0	1	3
ENSRNOG00000014190	32	58	58	76	114	94
ENSRNOG00000014240	57	107	107	186	255	335
