Gene stable ID	Gene name	NCBI gene ID
ENSRNOG00000031033	Mt-nd2	4536
ENSRNOG00000029707	Mt-nd4	4538
ENSRNOG00000030371	Mt-co2	4513
ENSRNOG00000030700	Mt-co3	4514
ENSRNOG00000054648	Tspy1	728395
ENSRNOG00000006761	Sh3gl2	6456
ENSRNOG00000031766	Mt-cyb	4519
ENSRNOG00000031979	Mt-atp6	4508
ENSRNOG00000005006	Ndufaf1	51103
ENSRNOG00000055277	LOC100362333	54107
ENSRNOG00000048320	Ndufa11	126328
ENSRNOG00000005183	Rtf1	23168
ENSRNOG00000004843	Pole3	54107
ENSRNOG00000031053	Mt-nd4l	4539
ENSRNOG00000009730	Cyp7b1	9420
ENSRNOG00000012333	Kbtbd11	9920
ENSRNOG00000016090	Mtmr10	54893
ENSRNOG00000048579	Psors1c2	170680
ENSRNOG00000033299	Mt-atp8	4509
ENSRNOG00000013331	Sdha	6389
ENSRNOG00000015622	Fbxo4	26272
ENSRNOG00000034234	Mt-co1	4512
ENSRNOG00000033615	Mt-nd3	4537
ENSRNOG00000016189	Frmd5	84978
ENSRNOG00000029971	Mt-nd5	4540
ENSRNOG00000030644	Mt-nd1	4535
ENSRNOG00000016137	Rad23b	5887
ENSRNOG00000009512	Esd	2098
ENSRNOG00000012775	Ccdc127	133957
ENSRNOG00000017787	Ripk1	8737
ENSRNOG00000008951	Rasl10a	10633
ENSRNOG00000052024	AABR07062298.1	2098
ENSRNOG00000047910	AABR07027368.1	54107
ENSRNOG00000017065	Arhgap28	79822
ENSRNOG00000012918	Mtmr6	9107
ENSRNOG00000029042	Mt-nd6	4541
ENSRNOG00000014721	Ahrr	57491
ENSRNOG00000009040	Gas2l1	10634
ENSRNOG00000028357	Lrrc14b	389257
ENSRNOG00000052775	RGD1305938	285636
ENSRNOG00000058589	AABR07046778.1	4539
ENSRNOG00000025792	Crk	1398
ENSRNOG00000001455	Kif13a	63971
ENSRNOG00000026548	Dhrs7c	201140
ENSRNOG00000033608	Cd276	80381
ENSRNOG00000005284	Itpka	3706
ENSRNOG00000020153	AABR07066830.1	8464
ENSRNOG00000045929	Spatc1l	84221
ENSRNOG00000016867	Zfp346	23567
ENSRNOG00000015149	Nrg4	145957
ENSRNOG00000002072	Eva1c	59271
ENSRNOG00000019023	Tars	6897
ENSRNOG00000022702	Fbxo22	26263
ENSRNOG00000039379	C17h6orf52	347744
ENSRNOG00000012953	Arsa	410
ENSRNOG00000032490	Cdh7	1005
ENSRNOG00000032618	Mst1r	4486
ENSRNOG00000049785	Ranbp3	8498
